,index_No,PB,PlayerId,Level,PlayerTeam,LR,pos1,pos2,#,Name,Player,pt_No,pt,num_pt,pt_rate,spdP,SpinRate,pitY,pitX,AtBox,AVE,SLG,spdB_ave,spdB_max,brzY_ave,num_pt(Z-in),SWG(Z-in),MISS(Z-in),num_pt(Z-out),SWG(Z-out),MISS(Z-out)
3444,650.0,Batter,61165132,NPB,CHU_DRA,Right,内野手,二塁手,#5,阿部　寿樹,"Abe, Toshiki",0,Fastball,85,0.4381443298969072,146.86424754235298,2343.8797777882355,50.14380026352941,20.84455900705882,18,0.2777777777777778,0.5555555555555556,135.92694809166667,170.1234192,56.408814,45,0.7111111111111111,0.1875,40,0.25,0.0
3445,650.0,Batter,61165132,NPB,CHU_DRA,Right,内野手,二塁手,#5,阿部　寿樹,"Abe, Toshiki",1,Sinker,15,0.07731958762886598,145.77501675333335,2111.2832380000004,32.998464186666666,39.80769449333333,6,0.5,0.6666666666666666,116.05523463333334,164.9142481,60.392304,6,0.8333333333333334,0.0,9,0.3333333333333333,0.0
3446,650.0,Batter,61165132,NPB,CHU_DRA,Right,内野手,二塁手,#5,阿部　寿樹,"Abe, Toshiki",2,Cutter,23,0.11855670103092783,138.5326537,2457.6924255652175,20.167727,-3.0977972521739128,3,0.0,0.0,151.8973981,165.6398751,44.646921,8,0.625,0.0,15,0.4,0.6666666666666666
3447,650.0,Batter,61165132,NPB,CHU_DRA,Right,内野手,二塁手,#5,阿部　寿樹,"Abe, Toshiki",3,Slider,38,0.1958762886597938,129.68970845526314,2402.531271947368,4.2108755,-22.805075842105264,8,0.0,0.0,124.60780472000002,141.7005275,47.646129,13,0.3076923076923077,0.25,25,0.24,0.3333333333333333
3448,650.0,Batter,61165132,NPB,CHU_DRA,Right,内野手,二塁手,#5,阿部　寿樹,"Abe, Toshiki",4,Curveball,9,0.04639175257731959,114.65658291111112,2557.8833865555557,-45.639688022222224,-29.597874933333337,2,0.5,2.0,149.41541404999998,162.9055155,45.347838,6,0.5,0.0,3,0.0,
3449,650.0,Batter,61165132,NPB,CHU_DRA,Right,内野手,二塁手,#5,阿部　寿樹,"Abe, Toshiki",5,Splitter,17,0.08762886597938144,135.2487707117647,1326.1315101764708,16.34245562352941,19.966714388235296,3,0.3333333333333333,0.3333333333333333,142.24203490000002,145.2917291,38.501797,4,0.75,0.0,13,0.3076923076923077,1.0
3450,650.0,Batter,61165132,NPB,CHU_DRA,Right,内野手,二塁手,#5,阿部　寿樹,"Abe, Toshiki",6,ChangeUp,7,0.03608247422680412,128.86461160000002,1675.5688132857142,38.38411714285714,25.92019925714286,0,,,,,,3,0.3333333333333333,0.0,4,0.5,0.5
3451,650.0,Batter,61165132,NPB,CHU_DRA,Right,内野手,二塁手,#5,阿部　寿樹,"Abe, Toshiki",9,all,194,1.0,139.26668493969072,2247.50676107732,28.43723891030928,8.688429789690723,40,0.25,0.475,132.33115526206896,170.1234192,60.392304,85,0.6235294117647059,0.1320754716981132,109,0.28440366972477066,0.3548387096774194
3452,651.0,Batter,1005113,NPB,YOM_GIA,Right,内野手,一塁手,#5,中島　宏之,"Nakajima, Hiroyuki",0,Fastball,22,0.6285714285714286,146.72766541363637,2432.887164727272,50.54660729090909,-20.75782672727273,3,0.6666666666666666,1.0,131.7724034666667,147.01979040000003,22.488952,13,0.8461538461538461,0.09090909090909091,9,0.2222222222222222,0.5
3453,651.0,Batter,1005113,NPB,YOM_GIA,Right,内野手,一塁手,#5,中島　宏之,"Nakajima, Hiroyuki",1,Sinker,1,0.02857142857142857,148.56275000000002,1938.498136,39.466723200000004,39.990318800000004,1,0.0,0.0,94.45622060000001,94.45622060000001,24.642361,0,,,1,1.0,0.0
3454,651.0,Batter,1005113,NPB,YOM_GIA,Right,内野手,一塁手,#5,中島　宏之,"Nakajima, Hiroyuki",2,Cutter,1,0.02857142857142857,130.779817,2318.129139,9.8065082,6.9984112,0,,,,,,0,,,1,0.0,
3455,651.0,Batter,1005113,NPB,YOM_GIA,Right,内野手,一塁手,#5,中島　宏之,"Nakajima, Hiroyuki",3,Slider,4,0.11428571428571428,134.30976212500002,2453.0225785000002,12.315812299999997,-12.69125605,2,0.0,0.0,117.69471105000001,127.1498466,35.819274,3,0.6666666666666666,0.0,1,1.0,1.0
3456,651.0,Batter,1005113,NPB,YOM_GIA,Right,内野手,一塁手,#5,中島　宏之,"Nakajima, Hiroyuki",4,Curveball,1,0.02857142857142857,112.1336342,2709.837324,-60.796728800000004,20.9652108,1,0.0,0.0,126.60732490000002,126.60732490000002,31.558397,1,1.0,0.0,0,,
3457,651.0,Batter,1005113,NPB,YOM_GIA,Right,内野手,一塁手,#5,中島　宏之,"Nakajima, Hiroyuki",5,Splitter,3,0.08571428571428572,136.89721056666667,2052.6670303333335,33.64318053333333,-43.01809193333333,1,0.0,0.0,98.70802130000001,98.70802130000001,-1.523461,0,,,3,0.6666666666666666,0.0
3458,651.0,Batter,1005113,NPB,YOM_GIA,Right,内野手,一塁手,#5,中島　宏之,"Nakajima, Hiroyuki",6,ChangeUp,3,0.08571428571428572,132.66300180000002,1612.5107483333334,30.75537833333333,6.837764666666668,0,,,,,,0,,,3,0.6666666666666666,1.0
3459,651.0,Batter,1005113,NPB,YOM_GIA,Right,内野手,一塁手,#5,中島　宏之,"Nakajima, Hiroyuki",9,all,35,1.0,141.86870074,2322.7887392285716,38.37030825142857,-15.657835805714285,8,0.25,0.375,118.80977491250002,147.01979040000003,35.819274,17,0.8235294117647058,0.07142857142857142,18,0.4444444444444444,0.5
3460,652.0,Batter,51655112,NPB,SOF_HAW,Right,内野手,三塁手,#5,松田　宣浩,"Matsuda, Nobuhiro",0,Fastball,44,0.43137254901960786,147.5839267159091,2291.150327045455,49.50318568181819,-13.45625036363636,11,0.2727272727272727,0.2727272727272727,128.62553235000001,150.344054,52.176758,21,0.9047619047619048,0.10526315789473684,23,0.4782608695652174,0.45454545454545453
3461,652.0,Batter,51655112,NPB,SOF_HAW,Right,内野手,三塁手,#5,松田　宣浩,"Matsuda, Nobuhiro",1,Sinker,3,0.029411764705882353,142.44805586666666,1867.3888696666666,31.547612800000007,-40.68298526666667,0,,,,,,0,,,3,0.0,
3462,652.0,Batter,51655112,NPB,SOF_HAW,Right,内野手,三塁手,#5,松田　宣浩,"Matsuda, Nobuhiro",2,Cutter,8,0.0784313725490196,139.96194686249999,2508.61684725,18.631011125,1.0259250500000006,3,0.3333333333333333,1.0,135.71117723333333,155.4699559,17.670834,3,1.0,0.0,5,1.0,0.6
